company,name,location,salary,edu,experience,skills,demand,company_type,company_nature,company_scale
易行网,视讯工程师,深圳,10-15K,大专,1-3年,华为视讯工程师 Hcip,、大学专科或以上学历，计算机、网络、通信技术相关专业；具备一年以上相关行业工作经验；2、掌握 视讯 相关技术；熟悉华为视讯产品的配置和问题处理等；熟悉并能够独立完成项目规划设计、项目实施；3、对华为、或其他厂商同类型产品有一定了解；4、具有中大型项目实施经验者优先；具有相关行业认证证书（如HCIA/HCIP/HCIE或其他厂商同类型证书）者优先；5、具有良好的沟通表达能力和高度责任心，具备良好的团队合作精神；6、具有良好的客户服务意识和敬业精神充分了解满足客户网络需求。7、具备有效沟通能力：与中基层客户有效沟通技术方案、项目计划和进度等，获得客户支持和认可。8、具备需求分析与引导能力：正确理解、有效分析和管理客户需求。9、具备项目管理能力：初步掌握项目管理基本方法和工具，并运用到工作中，具备项目技术管理成功实践。10、技术要求：掌握视讯等基础知识；11、熟悉华为视讯产品或其它厂商同类型产品者优先考虑。12、具有HCIA、IP、IE证书优先；,其他,民营公司,150-500人
万视星复印机出租维修,复印机维修技术员,深圳,3-6K,初中及以下,经验不限,系统运维 网络设备,上门维修复印机，打印机,其他,外资（非欧美）,1000-5000人
捷顺科技,运维专员,深圳,6-11K·13薪,本科,1-3年,系统运维 安全运维 应用运维 大数据运维 网络交换技术 桌面运维 数据库运维 SQL,负责车行系统、人行系统、云平台等智能硬件、软件系统产品的销前、售后技术支持，系统维护、远程运维，可免费提供公寓。任职要求：1、大学本科学历，计算机相关专业；2、1年以上软件系统实施、售后维护经验优先，有安防领域工作经验者优先；3、熟悉物联网、系统集成相关知识，对计算机网络、硬件组装、各种操作系统及数据库有较好的基础；4、沟通表达良好，有团队协作意识，有责任心，有上进心。,互联网,民营公司,150-500人
REIT,运维工程师,深圳,6-11K,本科,经验不限,五险一金 双休,岗位职责：1.负责系统运维工作，包括但不限于业务部署、版本升级、故障处理等；2.参与项目的业务功能性能优化；3.运维自动化工具建设，提高运维效率和质量；岗位要求：1. 本科及以上学历，计算机或相关专业，1年以上Linux运维工作经验；2. 熟练使用Bash、Python等至少一种脚本语言；能够利用工具对问题进行排障分析；3.较好的沟通表达能力及协助意识。,其他,上市公司,500-1000人
天顺通科技,运维工程师,深圳,6-9K,中专/中技,经验不限,系统运维 弱电工程师,弱电智能化设备安装调试运行维保！弱电工程布管布线，设备安装调试。有驾驶证，会开手动档小车。,互联网,上市公司,1000-5000人
力高技术,EMS工程调试工程师,深圳,11-20K,本科,3-5年,MySQL/Oracle EMS 调试,岗位职责：1、负责项目各种产品的现场安装调试，客户培训；2、新产品样机整体装配测试；3、负责各类产品的工程版本管理；4、负责工程文档和工程经验的管理及发布；5、公司各项目产品的软件、硬件日常测试工作。岗位要求：1、本科以上学历，电力、电子、机械、自动化等相关专业；2、3年以上同行业相关经验，熟练安装配置Linux操作系统、MySQL/达梦数据库；3、熟练配置交换机、正方向隔离等网络设备；4、具有良好的敬业精神，团队合作意识强，具有强烈的客户意识；5、能够适应经常出差工作。,其他,民营公司,150-500人
招商设施服务,机房运维工程师（宝安福永）,深圳,6-8K·13薪,中专/中技,1-3年,网络运维 Linux 系统运维 运维工程师 系统管理员 运维监控 安全运维 应用运维,"任职要求：1. 计算机相关专业中专及以上学历，1年以上运维相关工作经验；2. 熟悉Linux操作系统和网络，能熟练进行各类故障问题排查和处理；3. 熟悉LVS/nginx/Tomcat等web服务架构运维和配置；4. 具备shell、python等脚本使用能力；5. 具有良好沟通能力和学习能力，做事踏实谨慎，富有责任心；6. 加分项：熟悉容器技术，如Docker、Kubernetes等，有容器集群运维实践经验。岗位职责：1.负责查看监控系统平台告警,确保告警及时通知相关负责人；2.数据中心基础设施服务的日常巡检,数据中心人员进出的登记跟进；3.来自互联网则网络攻击事件的严判、分析、确认,上报并进行处理；4.网络设备服务器的上架,协调跟进设备故障处理闭环,记录；领导交待的其它工作等。福利待遇：吃（目前给餐补30元/日），提供免费住宿（水电均摊），购买五险一金，节日福利等工作时间：两班倒12小时制，上4休3，介意者勿扰。。工作地点：宝安福永-深圳国际会展中心",咨询/外包,民营公司,150-500人
新红医,医疗信息业务售后经理,深圳,15-20K,本科,3-5年,系统运维 实施交付运维,医疗信息业务售后经理薪资：18-25K岗位职责：1. 主要工作内容，全面负责我公司医疗信息化项目的运维工作：2.与销售配合制定售前方案；3.带领团队进行系统实施及项目运维管理；4.运维团队的招聘、培训和考核；任职要求：1.计算机相关专业本科或以上学历；2.有5年以上医疗行业相关工作经验，2年以上运维团队管理经验；3.熟悉HIS，LIS，PACS，EMR等系统，熟悉医院各主要科室的业务操作流程；4.熟悉各类IT设施的基本原理和运维方法，具备丰富的实战经验;5.具备优秀的领导能力、沟通协调能力和团队合作精神;6.具备较强的问题解决能力和系统思维能力，能够独立处理各类复杂问题;7.具备出色的文档编写能力，能够编写各类运维文档和管理报告;8.熟悉网络管理、网络安全和网络协议等知识;9.熟练掌握sqlserver、oracle、mysql等主流数据库语法，能独立编写存储过程;10.具备较强的学习能力与抗压能力，能适应出差。,其他,国企,5000-10000人
马上网络科技,运维工程师,深圳,12-24K,学历不限,3-5年,运维 运维工程师,1.大学本科或以上学历，以计算机、电子、通讯等专业为佳；2.3年以上大型业务系统运维工作经验；3.有大型实时系统运维工作经验者优先；4.有数据库运维管理经验者优先5.必须有was经验的6.会做防御，cdn，会区块方面的运营,互联网,民营公司,50-150人
卡普瑞,运维工程师,深圳,6-8K,大专,1-3年,运维开发/DevOps 系统运维 网络运维,（一）岗位职责：1、负责环境监测设备的运营维护，保障设备稳定正常运行，数据准确，符合运行要求；2、负责环境监测设备日常管理，填写运维记录，确保每台设备运行情况可跟踪溯源；3、对所负责项目的设备进行安装、调试、维修、更换；4、收集客户需求，及时处理客户反馈的问题；不能处理的问题及时上报解决；5、负责辖区内客户的技术支持及售后关系维护工作。6、完成领导安排的其他相关工作。（二）任职要求：1、大专及以上学历，电子或自动化类专业优先，可接受优秀应届毕业生；2、吃苦耐劳，能适应出差，有检测仪器设备售后工作和电工证者经验优先录用；3、具备良好的工作责任心，较强的客户沟通协调能力；4、服从工作安排，工作踏实稳定、肯干。,其他,国企,5000-10000人
