company,name,location,salary,edu,experience,skills,demand,company_type,company_nature,company_scale
阿里巴巴智能信息事业群,智能信息-大模型NLP算法专家-杭州,杭州,34-69K,硕士,3-5年,Java C/C++ 搜索算法 NLP 大模型算法 Python,【职位描述】1. 从事大模型底座的研发与应用，包括预训练、下游迁移等阶段的内容理解、知识对齐、训练优化、多模态等方向；2. 面向搜索和问答业务场景，在大数据环境下，跟进业界SOTA，落地适配真实场景，服务夸克亿万用户，包括NLU/NLG、信息抽取、阅读理解、多模态等方向。【职位要求】1. 计算机、数学或统计学相关专业硕士及以上学历，具有两年以上NLP或多模相关工作经验；2. 扎实的编程基础、数理基础和预研能力，熟练使用Pytorch/Tensorflow等至少一种主流深度学习框架；3. 具备良好的沟通能力、协作精神，具备较好的业务Sense、技术热情、求知欲；4. 符合以下条件之一者优先：1）对大模型有深入理解或实践，尤其是模型幻觉、知识对齐、可控生成方向；2）在搜索排序或NLP方向有深耕经验，如语义匹配、信息抽取、文本生成等方向。,互联网,上市公司,500-1000人
重庆润泽,IDC运维技术员（制冷）,重庆,4-9K,本科,6天/周 3个月,IDC机房运维,"岗位职责：(1) 负责数据中心7*24小时的日常值班监控、巡检工作, 填写值班记录表, 并定期向专业工程师汇报巡检工作；(2) 熟悉机电施工中有关暖通空调的基本技术要求和标准规范；(3) 掌握相关的暖通专业技术和安全操作技术、具有判断故障和处理一般故障的能力；(4) 对所负责的各设备设施及操作规程要全面了解并能独立操作等等任职要求：(1) 本科及以上学历，23-35岁，暖通空调专业，有暖通相关工作经验优先；(2) 身体健康，持有效空调设备维修上岗证、电工操作证、制冷维修或空调维修等级证者优先；(3) 具有制冷、空调维修工作经历者优先。工作地址：九龙坡区锣鼓大道中建八局润泽项目部",其他,民营公司,50-150人
价值在线,全栈开发工程师,大连,15-17K,本科,3-5年,vue java,"1、3-5年的Java工作经验，具有良好的编程习惯；2、JAVA基础扎实，熟练掌握Spring、SpringBoot、Spring Cloud、MyBatis等常用组件。3、熟练掌握Javascript开发技术，能够使用 JQuery、Vue等前端技术进行研发工作。4、深入理解面向对象的编程，了解常见设计模式，熟悉微服务的架构模式，熟悉敏捷开发的开发模式。5、熟悉MySQL及常用数据库,有Sql优化经验。6、具有创新思维，良好的主动性和责任感，良好的逻辑思维、沟通能力、学习能力；能够独立开展新产品、功能、模块的设计研发；",其他,国企,5000-10000人
诚易人,APP后端开发工程师,北京,13-15K,本科,3-5年,后端开发 WEB开发 Linux java javascript IDEA MySQL SpringBoot,"岗位职责：1.Java后台开发，兼项目负责人、定制项目，负责公司产品的技术研发和实现；2.数据库设计，数据库接口开发，为前端提供标准数据；3.配合产品、前端完成所有项目的开发、升级、维护；4.负责微信公众平台所需要的接口和数据管理，5.与其他部门技术对接，完成系统联调工作。任职要求：6.兼顾前端web的开发。1.大学本科以上学历，相关工作经验3年以上；2.熟悉常见开发环境，有单独部署服务器能力；3.熟练掌握Java语言，熟悉常用设计模式，并能应用于性能优化；4.了解视频服务相关技术；5.掌握分布式缓存、消息队列的使用，熟悉大型分布式，高并发，高负载、高可用性系统的设计和开发；6.掌握数据库知识，熟练使用MySQL,Mongodb等常见数据库系统;7.精通常见开源框架的原理及设计模式，逻辑思维清晰，逻辑处理能力强。",其他,外资（非欧美）,1000-5000人
学同科技,大数据工程师,杭州,14-28K,本科,1年以内,分布式大数据 图数据库 ELK,1.负责用算法分析和挖掘学校产生的各种海量结构化和非结构化数据2.负责学科的知识图谱设计和实现3.深入研究教学相关场景，推动AI在学校教育场景的创新和落地,互联网,国企,5000-10000人
北银金科,安全攻防研究员,北京,20-35K,本科,1-3年,信息安全 攻防对抗经验 CISA Nmap Burp Suite 安全运维和保障 CISSP/CISP 渗透测试经验 SQLmap 安全体系架构和研发 安全设备 渗透测试 信息安全认证 CISM,岗位职责：1.	负责安全技术研究，探索前沿信息安全技术架构，对行内部门提供安全支撑，推进项目进展，不断提升北京银行安全体系架构防护能力；2.	负责安全攻防项目管理，组织对行内系统进行安全评估，并持续跟进安全漏洞整改；负责组建攻防团队，并参与攻防演练竞赛；需具有独立的app\web漏洞挖掘、攻防演练、内网渗透等能力，曾上过大型公司SRC排行榜优先；3.	负责主机安全管理，组织开展主机防病毒、入侵检测等项目实施工作，并具有主机应急响应经验，能够根据主机日志对安全事件进行溯源分析，负责相关产品的部署、实施、日常运维；4.	负责行内系统的安全架构评估，对项目生命周期进行安全把控，对接其他部室和分支机构，提供安全解决方案和安全服务。备注：2、3至少具有其中一项能力即可。岗位要求：1.	具有较强的语言表达能力，工作认真细致。2.	统招本科及以上学历，信息安全、电子信息、计算机等相关专业，至少需2年工作经验。3.	工作态度积极主动，对于不熟悉的领域勇于学习探索。4.	具备CISSP\CISP\CISM\CCIE\CISA\27001审核员等相关证书优先。5.	具有甲方安全团队及金融行业从业经验，项目经验领域广泛者优先。6.	对岗位有深入理解，做好经验积累和传导，对分行提供信息安全方面支持,其他,上市公司,500-1000人
云泊软件,高级qt开发工程师,北京,22-31K,硕士,5-10年,C++ QT,岗位职责：1、参与仿真软件设计，负责大型仿真工业软件的交互部分开发；2、参与仿真软件架构设计与开发。任职要求：1、全日制本科及以上学历，计算机相关或工科专业，五年以上工作经验；2、熟练使用C++/Qt开发，熟悉C++11，熟悉QML/QUICK开发更佳，可以定制通用交互控件；3、熟悉Python脚本开发；4、具备Windows和Linux跨平台开发经验优先；5、具备英语文档阅读能力，具有基本的英语口语与书面沟通能力；6、具有CAE/CAD、CAM等大型软件开发经验者优先，熟悉Cmake等脚本开发能力；7、具有疑难问题快速诊断和解决的能力，具备工程开发思维；8、具有良好的沟通和协调能力；9、具有强烈的责任意识和开放的心态，善于学习，不断进步，乐于分享；10、有刻苦钻研和创新精神，有团队精神，能承受一定的工作压力。,互联网,上市公司,1000-5000人
今日头条,高级研发工程师 - CodeAI 方向,北京,47-82K,本科,3-5年,LLM AI CodeAI,"职位描述- 探索并打造基于 LLM 的下一代生产力工具，重点围绕软件研发场景（包括代码托管、代码分析、IDE 等各工具平台）、实现 LLM 赋能；具体方向如：  - 代码知识库及理解：结合目前字节全域代码数据，提供语义化代码检索能力、支持基于自然语言的 Q&A 及示例代码生成  - 代码辅助生成及修复：结合 CI / Static Analysis 的结果、提供摘要性总结及修复建议；结合其他研发基础设施（如 IDE / Code Interpreter）、实现 AI-Generated Code 具备生产级交付能力- 探索并打造企业级 LLM 应用研发基础设施，建设 LLM 应用开发的接入平台及基础框架能力职位要求- 计算机相关专业，本科及以上学历，三年及以上工作经验- 具备扎实的软件开发基本功，熟练掌握 C, C++, Golang, Java, Python 中至少一种编程语言- 具备优秀的学习能力、能够快速探索并实践全新的领域技能- 具备出色的架构设计及研发交付能力，能够设计并落地高可用的平台产品- 对软件研发全生命周期的工具链有足够的理解及洞见，对打磨生产力工具有极致追求- 对 LLM 应用研发技术栈有一定了解，对建设生产级 LLM-powered 应用有实战经历",其他,民营公司,少于50人
华为,大数据搜索工程师,西安,24-48K,本科,3-5年,搜索引擎  elasticsearc solr,【岗位职责】1、负责大数据平台搜索引擎产设计和开发；2、负责搜索引擎生态圈组件维护，开源社区动态跟踪、竞争力分析和规划技术演进；【任职要求】  1、精通Java开发语言，具备Linux环境开发经验；2、有分布式软件开发经验，熟悉Solr/Elasticsearch中至少一个组件。,其他,上市公司,500-1000人
腾讯,机器学习平台高级工程师(广告),北京,27-54K,本科,5-10年,GPU训练,岗位职责1.负责大规模稀疏模型训练平台优化，包括同步/异步，GPU多机多卡训练框架等，提供高性能稳定的广告模型训练平台； 2.负责腾讯广告业务场景的落地，紧贴业务需求，不断优化模型训练的性能； 3.积极跟进AI学术界和业界的最新动态，优化内部技术方案，提升平台性能，不断推进AI架构升级。岗位要求1.熟悉掌握常见有监督、无监督等算法模型的原理、优缺点、适用场景等基础知识； 2.熟悉掌握梯度下降、SGD、Adam等分布式训练方法； 3.熟悉TensorFlow、Pytorch等主流深度学习框架，并有实际的模型训练、调优的项目经验； 4.熟练掌握的Java/Python/C++中一种或多种编程语言，具备良好的软件设计和开发能力； 5.具备一定分布式、大数据软件开发经验； 6.良好的沟通能力、解决问题能力。,其他,上市公司,10000人以上
通利合,前端开发工程师,北京,15-25K,本科,3-5年,JavaScript HTML CSS CSS3 HTML5 前端开发 Web端 移动端,岗位职责：1、负责产品前端web开发；2、负责APP端内H5页面开发；3、探索高效前端开发模式，参与中后台低代码平台建设，并沉淀业务物料、组件；4、参与平台技术基础能力建设，保障系统性能与质量，提升用户体验任职要求：1、两年以上前端开发经验，本科及以上学历，计算机相关专业；2、扎实的html5、css/css3、js基本功，能够独立完成开发任务，深刻理解JS面向对象开发原理；3、实战经验丰富，开发过大量的前端项目，有H5活动页及小程序开发经验者优先；4、对常见Web性能优化，安全问题有一定认识；5、对交互、体验有一定经验和心得，具备架构理解、设计能力；6、对前端工程有深入思考，具有良好的沟通能力和团队合作精神；7、对vue具有一定的了解，自学能力强；8、具有较强的团队协作精神和责任心，热衷于探索新技术，勇于接受挑战；具备良好的沟通能力和较强的学习能力。,其他,民营公司,50-150人
中神网盾,高级渗透测试工程师,长春,17-22K,大专,1-3年,安全漏洞挖掘 网络攻防 网络安全审核,岗位职责：承担安全服务项目中的渗透测试、代码审计、应急响应工作岗位要求：1、熟悉常见Web应用架构，熟悉常见Web安全漏洞，掌握漏洞挖掘技巧；2、熟悉常见的渗透攻击手法，能独立完成渗透测试；3、熟悉PHP/Java代码，能对相关应用进行代码审计；4、具备一定的应急响应经验，熟悉入侵分析和取证；5、熟练使用至少一种语言进行工具编写；6、有良好的工作心态，愿意协助同事完成非职责所在的工作7、性格外向，沟通能力强；吃苦耐劳，有一定抗压能力加分项：1、有大型网络资产目标渗透实施经验；2、在主流SRC排名靠前；3、在知名信息安全站点发布过高质量技术文章。4、在各类信息安全攻防类大赛上获奖,其他,外资（欧美）,10000人以上
天晟通,大数据工程师,北京,14-23K,大专,1-3年,Java SQL Kettle 计算机相关专业 大数据开发经验 ETL开发经验,"1.负责大数据应用项目的可行性分析，制定软件开发、实施计划并亲自落实、执行；组织、协调软件项目所需的资源，及时解决软件项目开发、实施中遇到的各种问题； 2.利用目前正在发展的大数据分布式平台前沿技术的应用，开展大数据相关项目； 3.负责大数据系统架构，业界数据仓库建模及新的建模方法的发展；4.理解业务诉求，转化为对数据的建模，帮助大数据开发人员更好的理解业务需求；管理跟进数据开发和业务分析为主的项目,完成各项目例行报告汇总和整理; 5.深入分析公司数据治理需求，规划数据治理框架和数据标准，设计数据治理的增值应用服务场景和实施路线，包含数据标准管理、主数据管理、元数据管理、数据质量管理、数据生命周期管理等领域的规划。",其他,上市公司,500-1000人
鹏跃仪器,运维工程师,东莞,4-8K,大专,1-3年,环境工程 化学,岗位职责：1、负责水质在线监测仪器的现场安装调试工作；2、负责仪器日常维护工作；3、负责重要项目和客户的日常跟踪及回访工作；4、配合区域商务做好本区域运营服务工作；5、支持公司销售队伍达到公司业务发展的目标。岗位要求：1、专科以上学历，环境/化学/生物/自动化/电子等相关专业；2、有过水质自动站运营维护经验，能具备水质在线监测仪器维护保养维修者优先；2、吃苦耐劳，工作踏实，责任感强，有较强的组织性、纪律性，沟通协调能力佳。3、有驾照，能熟练开车者优先。,其他,民营公司,50-150人
达闼,大模型技术专家（ChatGPT方向）,北京,36-64K,硕士,7天/周 6个月,大模型 chatgpt NLP,岗位职责： 1.负责公司机器人场景多模态大模型核心算法研发（包括不限于文本，视频，图片，音频等）； 2.负责多模态模型大规模训练加速，压缩、蒸馏、微调等技术方案。 岗位要求： 1.八年及以上NLP相关算法工作经验，熟悉学界/业界大模型最新成果和发展趋势（ChatGPT）； 2.对NLP应用方向有深刻的见解，包括但不限于：大规模语言模型、开放域闲聊，知识问答等； 3.精通多模态预训练模型技术，精通分布式训练技术，具备多模态预训练大模型经验； 4.熟悉小样本学习，零样本学习，prompt学习等技术； 5.快速学习能力，良好的沟通能力和团队合作意识； 6.有大型语言模型训练经验优先考虑； 7.有相关顶会学术论文优先考虑，博士学位优先考虑。,其他,民营公司,50-150人
阿里巴巴集团,高级大数据研发工程师,保定,19-38K,本科,3-5年,Hive Spark Flink 大数据开发经验 数仓建设经验 ETL开发经验,岗位职责：负责阿里集团安全部基础安全的数据研发相关工作。职位描述：1.面向阿里巴巴集团业务线，全面建设集团基础资产数据，服务基础安全业务2.通过深入理解业务及策略，抽象业务过程、沉淀可复用的数据洞察能力，提供系统性的数据解决方案3.通过模版化和组件化的建设来提升数据架构扩展性，从而支持产品和业务方案的快速迭代和扩展职位要求：1.2年以上数据仓库经验，具备海量数据处理经验，熟悉数据仓库领域知识和技能，熟悉hadoop生态系统，熟悉Mapreduce/Flink/Spark/hdfs等技术，具备一定的海量数据处理、运维及调优经验；2.对数据敏感，具有优秀的业务理解、数据分析和解决问题能力，能够主动并乐于了解日常业务需求，有自己独到的见解和思考，具备从日常业务中发现问题并解决问题的能力；3.具备一定的JAVA、Python语言的开发能力，具备网络安全、流量安全、应用安全相关资产建设经验或拥有资产架构设计及治理经验者优先考虑。,其他,上市公司,5000-10000人
重庆钰铭德科技公司,等保测评工程师,重庆,6-7K,初中及以下,1-3年,CISSP/CISP 网络安全 等保 文档,岗位职责：1.依据网络安全等级保护相关标准和规范开展网络安全等级保护测评工作；2.负责网络安全咨询相关工作，能够为客户提供网络安全等级保护、风险评估以及其他网络安全服务的咨询及培训工作；3.负责网络安全相关服务的技术支持及项目实施和方案编写等工作。岗位要求：1.本科及以上学历，信息安全、计算机及相关专业；2.两年以上网络安全行业工作经验；3.熟悉网络安全相关法律法规、相关标准；4.熟悉主流操作系统、数据系统、网络安全设备；5.具有良好的沟通能力，良好的文案写作、书面表达能力。加分项：1.网络安全等级保护测评师、商用密评应用安全性评估人员；2.网络安全相关认证，如CISP、CISSP等。,互联网,上市公司,1000-5000人
华为,华为OD-软件开发/测试,杭州,15-30K,本科,1-3年,Python 后端开发 服务器端开发 全栈开发 Spring MySQL MongoDB Redis,华为OD研发岗、测试岗内推。C/C++/Java/Python/Go/JS皆可；职级不限D1-D5皆可；地域可选杭州、南京、上海、成都、西安、深圳、北京、武汉、东莞；欢迎投递简历；,其他,上市公司,500-1000人
阿里巴巴集团,音频算法工程师,北京,26-52K,本科,3-5年,深度学习算法 语音算法 C++ Python,岗位名称：语音音乐算法专家工作地点：北京/上海/杭州团队介绍：阿里云-视频云团队旨在建立一个全球范围内可靠流畅的实时音视频分发系统，并为全球用户提供高音质、高画质、低延迟的语音和视频服务，覆盖媒体生产处理、通话、会议、低时延直播，连麦等多种业务场景，力争成为行业体验最佳、成本最省、系统最稳的产品。岗位职责：1、完成团队音频算法产品的研发，落地工作。包括但不限于以下几个方面：1）负责音乐信息检索、音乐合成等相关算法的开发工作2）负责音频分析识别、事件检测、自动评测等算法研发落地的工作。3）负责语音/歌唱合成引擎的开发工作。4）负责2、完成算法在跨平台的移植与性能优化3、语音音乐前沿技术的预研岗位要求：1、硕士以上学历，计算机、信号处理或声学相关专业2、变成基础扎实，熟悉算法和数据结构，熟练运用C/C++、Matlab、Python等开发预研3、有声音音效开发、音频音乐内容理解、语音合成等相关技术的实际开发经验4、熟悉音频编解码和数字信号处理的相关知识5、熟悉机器学习、深度学习基础理论，熟悉常见机器学习开源框架6、有移动端机器学习算法开发经验者优先，在顶级会议发表过高质量论文者优先7、具有良好的沟通能力及团队协作精神，有较强的分析和解决问题能力8、具有一定的音乐素养，对音乐和音频技术感兴趣者优先,其他,上市公司,5000-10000人
北京格林茨科技,全栈开发工程师,梧州,22-45K,本科,经验不限,TypeScript Golang CSS 留学生优先 全栈侧重后端 英美留学生 JavaScript Node.js MySQL/Redis/MongoDB 英语读写能力良好 全栈项目经验,"职责描述：1、负责Candidate端的前、后台架构设计、开发与优化工作；2、承担业务重点技术攻坚，通过高质量的编码设计支持业务的快速发展；3、与产品经理一起，提升产品的用户体验，打造卓越的互联网产品；4、负责相关技术的基础设施搭建，提高工程效率和工程质量。任职资格：1、本科及以上学历，计算机基础扎实；2、精通Go和Node.js开发，并具备项目开发实践经验；3、熟悉 JavaScript / CSS / HTML 等 Web 前端技术；4、了解Mysql/PostgreSQL,Redis和ES的使用和优化，并有一定应用经验；5、良好的编码能力、抽象设计和工程设计能力，关注国内外各大开源社区和技术论坛；6、较好的英语沟通能力（听/说），能够与外国同事用英语基本无障碍沟通；",互联网,民营公司,500-1000人
腾讯,腾讯医疗用户画像高级工程师,深圳,27-37K,本科,5-10年,Spark HIVE Flink 大数据 用户画像 搜索算法 推荐算法 医疗健康,岗位职责 1. 负责画像数据挖掘、用户建模、用户行为分析、业务层应用等工作。2. 基于腾讯医疗海量用户数据和内容体系，建设医疗画像平台，服务于搜索推荐、营销、问诊等方向。岗位要求 1. 本科及以上学历，5年工作经验，2年以上数据挖掘/用户画像研发工作经验；2. 扎实的计算机编码能力，有一定的数据敏感度，沟通及逻辑能力强； 3. 具备大数据平台的工作实践及深度学习模型的推理性能优化研发经验； 4. 有搜索或推荐召回\排序模型系统研发经验优先；5. 有大数据框架的使用经验优先，如Hive、Spark、Flink等;6. 有用户画像、大数据处理、数据仓库中大型项目设计和落地经验优先。,其他,上市公司,10000人以上
北京科林卓煜科,计算机软件工程师,北京,6-9K,本科,1-3年,SQLServer Oracle 数据分析,1.熟悉C#.VB.JAVA等编程语言中的一种或多种；2.熟悉SQL数据库；3.熟悉ASP.NET4.熟悉HTML5标准，熟练使用CSS，XHTML5.熟练使用水晶报表等报表软件（3和4主要是满足报表网页的制作与开发）1.熟练使用WinCC，Cimplicity等组态软件中的一种或多种；2.熟悉西门子.AB等PLC编程；,其他,上市公司,1000-5000人
微风企科技,数据挖掘分析师,呼伦贝尔,13-25K,本科,经验不限,深度学习算法 算法设计,1、对于企业财税数据进行数据挖掘及数据分析； 2、编写中小微企业数据分析规则，以供开发人员实现； 3、开发策略分析方案，包括建立策略规则、统计模型、策略，进行数据检验过程；4、深入业务场景，分析企业画像，能够基于数据分析挖掘出财税有价值的信息，为企业建模提供策略和建议；5、通过各种模型算法原理对算法进行优化改进，对模型进行部署、监控，不断的迭代优化；,互联网,上市公司,500-1000人
天津越陵,高级数据研发工程师,深圳,18-24K,本科,5-10年,Hive Spark Kafka,1、熟练掌握ETL工具，如Informatica PowerCenter，Talend，SSIS，DataStage等。2、熟悉ETL流程，包括数据抽取、转换、加载，数据清洗，数据验证和错误处理等。3、熟练掌握SQL语言，能够编写高效的SQL查询，并进行性能优化。4、熟练掌握数据仓库和数据模型设计，包括维度模型和事实模型等。5、熟练掌握Hadoop生态系统和相关技术，如HDFS，YARN，MapReduce，Hive，Spark等。6、具有大规模数据处理和分布式计算经验，能够处理海量数据的存储和计算。7、具有团队合作精神和项目管理经验，能够与其他部门进行有效的沟通和协作。8、5年数据治理项目经验，具备政府、企业、金融行业等大数据项目背景。加分项：有航空业经验PS：需出差广州,其他,民营公司,150-500人
富士康科技集团,测试员,曲靖,7-10K,学历不限,经验不限,宿舍环境好 提供吃住,公司是做手机产品有测试质检维修安检仓库等岗位260一天,互联网,上市公司,500-1000人
兆源数据,Java开发工程师,北京,11-17K,本科,5-10年,Linux SpringBoot Spring Oracle 微服务架构 分布式技术,"任职要求：1.有1年及以上工作经验。2.深刻理解java知识体系框架，有扎实的java编程基础。3.熟练掌握Spring、Springboot、Spring Cloud、Mybatis等主流框架的开发和配置。4.从事过金融行业应用系统的开发，有银行核心业务系统建设经验者优先，借记卡存款类业务相关者优先。5.具备一定的前置机开发经验，熟练使用Java/J2ee,Oracle,Ibatis,Linux/Linux等经验者优先。6.项目组工作强度大，具备良好的学习能力和抗压能力，能够接受加班工作，能够服从上级安排。7.学历证书可在学信网查询。",互联网,民营公司,少于50人
滴滴,自动驾驶-规划算法工程师-广州,广州,37-74K,本科,1-3年,机器学习算法 深度学习算法,岗位职责1、研发自动驾驶相关算法，包括行为预测、路径规划、推理决策，运动规划等2、利用数据驱动、机器学习等方法，打造鲁棒\可拓展的规划系统架构3、积极从事算法或技术创新，扩充公司知识产权储备任职资格1、计算机或相关专业本科及以上学历 2、至少熟悉如下一门编程语言：C++、Python3、一年以上工作经验4、良好的沟通与合作能力 优先考虑：1、机器人、控制理论、自动化方向的硕士、博士优先2、有智能驾驶、智能车相关经验优先,其他,上市公司,50-150人
墨芯,AI应用工程师 (MJ000154),深圳,34-67K,学历不限,经验不限,人工智能,岗位职责：1. 负责模型的部署和优化（尤其是大模型）2. 负责模型推理框架的开发和维护3. 分析问题，解决问题，性能优化要求：1. 熟悉C++和Python编程，熟悉Linux开发环境，具有良好的程序设计能力2. 熟悉计算机体系架构，如Linux、PCIe、NUMA等3. 学习能力强，自我驱动力强，沟通能力好加分项：1. 熟悉CUDA编程优先2. 熟悉主流推理框架优先，如TensorRT、Tengine等3. 熟悉LLMs的结构和算法4. 具有结合硬件的AI加速经验优先，如CPU(ARM/x86)、GPU(Mali/PowerVR/Adreno/Nvidia)等平台的高性能计算优化5. 具有大型软件架构经验优先6. 非常擅长榨干各种系统性能的优先,其他,民营公司,150-500人
中移,Java架构师,晋中,23-34K,本科,3-5年,微服务架构 负载均衡技术 多线程 分布式技术 服务器配置 容器技术 多进程 Spring,扎实的java编程基础，精通Java EE、WEB前端等技术,其他,民营公司,50-150人
智联汇达,网络高级工程师,烟台,17-28K,大专,5-10年,网络建设/系统集成经验,'职位描述：1、负责项目的网络需求调研分析、实施方案编制、实施交付、联调测试、故障处理、维护保障等工作；2、负责项目所需文档编写工作；3、对接原厂商解决设备运行过程中遇到的问题；4、具有二年及以上云平台网络集成实施经验；5、掌握TCP/IP、OSPF、BGP、Vxlan等协议；6、熟悉SDN技术、VxLAN协议、华为type1和type2组网。岗位要求：1、经过计算机网络、网络工程、虚拟化、存储等相关专业化学习；2、能够熟练使用word、PPT、Visio等办公软件；3、有Cisco认证、华为IE认证且有两年以上实际工作经验者优先考虑；4、熟悉IP路由交换及网络安全技术，熟悉主流网络产品（交换机、路由器、防火墙、WLAN等）的配置和管理，熟悉H3C、华为、锐捷数通等网络设备（包括有线网络和WLAN）的配置和调优；5、具备2年以上IT企业网络系统、网络安全体系的架构规划、设计、实施、维护经验，有中大型网络项目管理经验者优先；6、优秀的交流沟通、分析和解决问题能力，良好的团队合作精神，诚实负责，积极主动，抗压性强。   有大型硬件及云和大数据平台集成建设类项目需求调研，规划设计，投标组织和标书编写，售前支持，解决方案，实施方案，项目管理，实施交付，部署调试，故障处理等能力和经验的人。要求5年及以上网络设备独立安装调试经验，2年及以上集成项目售前解决方案经验，3年及以上项目管理经验。拥有IE证书。逻辑思维缜密，沟通表达流利。拥有大型政府行业经验优先，拥有安全能力和经验的优先，拥有等保和密评能力和经验的优先，拥有云平台云原生能力和经验的优先，拥有国产化替代能力和经验的优先,其他,民营公司,少于50人
唯品会,NLP算法工程师/专家 (MJ015521),深圳,25-50K,中专/中技,3-5年,NLP AIGC 大模型 生成式对话 大数据处理 TB级数据,岗位职责:1. 负责电商场景商品图谱构建工作，包括但不限于预训练、实体和关系挖掘、商品标签挖掘（属性、卖点、场景主题等）、评价文本分析等；2. 负责商品图谱的应用工作，包括但不限于产品前端应用、主题组货、搜索推荐、商家工具等；3. 跟进NLP领域前沿技术，将SOTA模型应用于商品图谱，提升搜索推荐效率和体验，提升商家运营效率岗位要求:1. 5年以上工作经验，良好的自然语言处理、机器学习等方面的技术背景，同时具备多模态技术背景者优先；2. 有商品理解、内容理解、广告素材理解、搜索推荐广告、多模态预训练、多模态检索等项目经历者优先；3. 对数据敏感，有较强的数据分析和问题解决能力，有较强的工程能力者优先；4. 熟练掌握Pytorch/Tensorflow等一种深度学习平台，熟练掌握常用的数据结构和算法，熟练掌握Python/Java/C++中至少一门编程语言；5. 有自驱力和求知欲，善于学习新事物；有责任心，良好的沟通能力及团队合作精神,其他,民营公司,150-500人
蚂蚁集团,蚂蚁集团-广告高级算法工程师/专家-上海,珠海,33-66K,高中,3-5年,电商广告算法 Java 算法工程化经验 广告算法 算法策略 行业策略算法,团队介绍职位描述1:1、负责核心业务算法、机制的设计、扩大应用和优化，提升客户收益和持续运营能力以促进规模化进入和投放，提升平台/媒体商业化效率以促进规模化的流量对接，最终提升整个生态发展；2、负责CTR、CVR等核心模型的优化和创新，包括但不限于：持续提升超大模型效果同时平衡性能效率、持续优化稀疏样本带来的冷启动和稳定收敛问题、持续提升多场景/多任务/多客户升级迭代效率和效果；3、紧密结合客户需求和前沿技术、持续不断的进行技术应用和创新，提升平台和客户的商业化效率。职位描述2:1、负责定向广告中的DMP建设、广告受众画像建模、广告受众标签、人群lookalike算法等；2、负责基于关键词的定向能力各模块（query分析、关键词抽取、文本分类、语义理解等）的开发与优化；3、负责关键词人群包的质量优化、关键词推荐的召回和排序策略优化。职位描述1、在机器学习、统计分析、大数据处理等领域有一定的功底，3年以上相关工作经验；有推荐/搜索/广告，异常检测等领域经验者优先；2、优秀的算法应用能力，包括特征提取、模型建立、效果评估、应用部署以及优化迭代等环节；3、优秀的编程能力，至少熟悉一门常用语言及相关的算法库，如java、python、R等；4、计算机、数学或统计学等相关专业优先；热衷于创新技术，适应一定的工作压力；具备较强的业务敏感度者优先。,其他,上市公司,1000-5000人
华东院,售前工程师,郑州,10-16K,本科,1-3年,产品咨询,要求有一定工程背景和经验，可以独力担当区域市场BIM产品销售开拓任务，有一定数字化行业从业经验优先。工作职责：1、负责区域客情管理、市场计划编制、市场活动策划；2、负责客户跟踪、售后维护跟进；3、负责区域客户关系维护、客户挖掘等；4、负责产品的销售、策划和宣传；5、完成总部下单的业绩KPI。任职要求：1、本科及以上学历；2、工作经验1~5年；3、有工程软件销售管理经验者或工科专业背景者优先；4、团队合作能力、诚信、人际沟通能力、责任心、主动性。,其他,民营公司,500-1000人
格创东智,深度学习算法工程师,廊坊,23-45K,硕士,经验不限,Python TensorFlow/PyTorch 深度学习经验 机器学习算法/工程化经验,岗位职责：1.研发和优化深度学习算法模型，包括自然语言处理、图像识别等领域，如CNN、RNN等；应用于工业互联网场景；2.基于CHATGPT等技术，设计和实现智能对话系统，优化用户交互体验；熟悉Transformer模型、自监督模型、语言模型和Fine-tuning等GPT模型方法。3.与团队成员协作，开展工业数据挖掘与分析，提升算法效果和业务价值；4.参与项目需求分析、设计、开发、测试和部署等工作，保证项目进度和质量。任职要求：1.熟练掌握深度学习算法理论，具有扎实的数学、统计基础和算法设计能力；2.精通Python、TensorFlow、PyTorch等深度学习框架，具有实际项目经验；3.具有自然语言处理、图像识别等相关领域的算法研发和应用经验，有CHATGPT等技术应用经验者优先；4.具备良好的团队协作和沟通能力，能够有效解决实际问题和跨部门合作；5.熟悉工业互联网相关行业领域，有工业数据分析和挖掘经验者优先；6.硕士及以上学历，计算机、数学、物理等相关专业优先。,其他,民营公司,50-150人
亲和智能,数据科学家,海口,25-48K,本科,4天/周 4个月,Python 算法设计 深度学习算法 机器学习算法 TensorFlow 数据挖掘,"职责：负责基于客户需求目标的数据算法框架制定，独立或者带领团队进行数据挖掘清洗、数据指标体系梳理、模型构建与测试、模型部署、实验设计和效果优化等，要求： 全日制本科或以上学历，机器学习、计算机等相关背景硕士以上学历优先，5年以上相关工作经验，熟练使用SQL及至少一种统计分析工具(R或 Python)，有使用Tensorflow, SparkML等机器学习框架的实战经验，英文流利，逻辑清晰，具有优秀的跨团队沟通能力及领导力。",互联网,民营公司,500-1000人
